Name	KOI	M/MJ	M/ME	R/RJ	R/RE	Density	Temp**	Transit Duration	Period	Semi-Major axis	Eccentricity	Inclination***	Distance	Effective Temp	Stellar Mass	Stellar Radius	Metallicity	Right Ascension  	Declination	Kp	Last Updated
Kepler-4b	7	0.077	24.5	0.357	4.0	1.91	1650	3.623	3.2135	0.04558	(0)	89.76	550	5857	1.223	1.487	+0.17	19 02 28	+50 08 09	12.2	2010/01/17
Kepler-5b	18	2.114	672	1.431	16	0.894	1868	4.370	3.5485	0.05064	(0)	86.3	--	6297	1.374	1.793	+0.04	19 57 38	+44 02 06	13.4	2010/01/17
Kepler-6b	17	0.669	213	1.323	14.8	0.352	1500	3.625	3.2347	0.04567	(0)	86.8	--	5647	1.209	1.391	+0.34	19 47 21	+48 14 24	13.3	2010/01/17
Kepler-7b	97	0.433	138	1.478	16.57	0.166	1540	5.254	4.8855	0.06224	(0)	86.5	--	5933	1.347	1.843	+0.11	19 14 20	+41 05 23	12.9	2010/01/17
Kepler-8b	10	0.603	192	1.419	15.91	0.261	1764	3.438	3.5225	0.0483	(0)	84.07	1330	6213	1.213	1.486	-0.055	18 45 09	+42 27 04	13.6	2010/01/17
Kepler-9b	377	0.252	80.1	0.842	9.44	0.524	740	3.822	19.24	0.14	0.15	88.55	700	5777	1.07	1.02	+0.12	19 02 17.76	+38 24 3.2	13.308	2010/12/01
Kepler-9c	377	0.171	54.4	0.823	9.23	0.383	540	4.109	38.91	0.225	0.13	88.12	700	5777	1.07	1.02	+0.12	19 02 17.76	+38 24 3.2	13.308	2010/12/01
Kepler-9d	377	--	--	--	1.64	--	2026	1.97	1.592851	0.02730	(0)	--	700	5777	1.07	1.02	+0.12	19 02 17.76	+38 24 3.2	13.308	2010/12/01
Kepler-10b	72	0.014	4.56	0.12	1.416	8.8	1833	1.811	0.837495	0.01684	(0)	84.4	173	5627	0.895	1.056	-0.15	19 02 43	+50 14 28.7	10.96	2011/01/10
Kepler-10c	72	< 0.06	< 20	0.2	2.227	< 10	485	6.863	42.29485	0.2407	0	89.65	173	5627	0.895	1.056	-0.15	19 02 43	+50 14 28.7	10.96	2011/05/23
Kepler-11b	157  	0.014	4.3	0.175	1.97	3.1	900	4.02	10.30375	0.091	(0)	88.5	613	5,680	0.95	1.1	0	19 48 27.62	+41 54 32.9	13.7	2011/02/02
Kepler-11c	157  	0.042	13.5	0.28	3.15	2.3	833	4.62	13.02502	0.106	(0)	89	613	5,680	0.95	1.1	0	19 48 27.62	+41 54 32.9	13.7	2011/02/02
Kepler-11d	157  	0.019	6.1	0.305	3.43	0.9	692	5.58	22.68719	0.159	(0)	89.3	613	5,680	0.95	1.1	0	19 48 27.62	+41 54 32.9	13.7	2011/02/02
Kepler-11e	157  	0.026	8.4	0.402	4.52	0.5	617	4.33	31.99590	0.194	(0)	88.8	613	5,680	0.95	1.1	0	19 48 27.62	+41 54 32.9	13.7	2011/02/02
Kepler-11f	157  	0.007	2.3	0.232	2.61	0.7	544	6.54	46.68876	0.25	(0)	89.4	613	5,680	0.95	1.1	0	19 48 27.62	+41 54 32.9	13.7	2011/02/02
Kepler-11g	157  	> 0.94	> 300	0.326	3.66	--	400	9.60	118.37774	0.462	(0)	89.8	613	5,680	0.95	1.1	0	19 48 27.62	+41 54 32.9	13.7	2011/02/02
Kepler-12b	20	0.431	137	1.695	19	0.111	1361	4.6975	4.4379637	0.0556	<0.01	88.76	600	5947	1.166	1.483	+0.07	19 04 58.44	+41 02 25	13.438	2011/09/09
Kepler-13b	13	9.2	2900	2.027	22.77	--	3320	3.1666	1.7637	0.037	--	60	 	8848	2.05	2.68	--	19 07 53.08	+46 52 06	9.96	2012/11/1
Kepler-14b	98	8.4	2670	1.14	12.7	7.1		6.218	6.79		.035	90	980	6395	1.512	2.048	+0.12	19 10 50.12	+47 19 59.0	12.128	2011/07/23
Kepler-15b	128	0.66	210	0.96	10.8	0.93	1111	3.5	4.942782	0.05714	0.06	87.44	--	5515	1.018	0.992	+0.36	19 44 48	+49 08 24.5	13.76	2011/10/21
Kepler-16b	1611	0.333	106	.7538	8.45	0.964	170-200	7.2(A)	1.68(B)	228.776	0.7048	0.0069	90.0322	61	4450(A)	0.6897(A)	0.20255(B)	0.6489(A)	0.22623(B)	-0.3(A)	19 16 18.17	+51 45 26.78	11.762	2011/09/15
Kepler-17b	203	2.45	779	1.31	14.71	1.35	1570	22.76	1.4857108	0.02591	<0.011	87.2	--	5630	1.061	1.019	+0.3	19 53 34.86	+47 48 54.0	14.14	2011/10/26
Kepler-18b	137	0.02	6.9	0.18	2.0	4.9	1179	2.1	3.504725	0.0447	(0)	84.92	--	5345	0.972	1.108	+0.19	19 52 19.06	+44 44 46.75	13.549	2011/10/04
Kepler-18c	137	0.054	17.3	0.489	5.49	0.59	909	3.6	7.64159	0.0752	(0)	87.68	--	5345	0.972	1.108	+0.19	19 52 19.06	+44 44 46.75	13.549	2011/10/04
Kepler-18d	137	0.051	16.4	0.62	6.98	0.27	728	4.0	14.85888	0.1172	(0)	88.07	--	5345	0.972	1.108	+0.19	19 52 19.06	+44 44 46.75	13.549	2011/10/04
Kepler-19b	84	> 0.06	> 20.3	0.2	2.209	<7.76	714	3.5	9.2869944	0.0853	[0]	89.94	2119	5541	0.936	0.850	-0.13	19 21 40.99	+41 51 6.5	11.90	2011/09/08
Kepler-19c	84	6	>1900	--	--	--	--	n.a.	<160	--	--	<85.7	2119	5541	0.936	0.850	-0.13	19 21 40.99	+41 51 6.5	11.90	2011/09/08
Kepler-20b	70	0.027	8.7	0.170	1.91	6.5	1014	2.4	3.6961219	0.04537	< 0.32	86.50	290	5466	0.912	0.944	+0.02	19 10 47.5	+42 20 19.4	12.498	2011/12/20
Kepler-20c	70	0.051	16.1	0.273	3.07	2.91	713	3.6	10.854092	0.0930	< 0.40	88.39	290	5466	0.912	0.944	+0.02	19 10 47.5	+42 20 19.4	12.498	2011/12/20
Kepler-20d	70	> 0.063	> 20.1	0.245	2.75	< 4.07	369	6.4	77.61184	0.3453	< 0.60	89.570	290	5466	0.912	0.944	+0.02	19 10 47.5	+42 20 19.4	12.498	2011/12/20
Kepler-20e	70	> 0.005	0.39-1.67	0.077	0.868	--	1040	2.6	6.098493	0.0507	< 0.28	87.50	290	5466	0.912	0.944	+0.02	19 10 47.5	+42 20 19.4	12.498	2011/12/20
Kepler-20f	70	> 0.010	0.66-3.04	0.092	1.034	--	705	3.0	19.57706	0.1104	< 0.32	88.68	290	5466	0.912	0.944	+0.02	19 10 47.5	+42 20 19.4	12.498	2011/12/20
Kepler-21b	975	> 0.033	> 10.4	0.1459	1.636	<12.9	1956	3.439	2.785755	0.0425	[0]	82.58	108	6131	1.34	1.86	-0.05	19 09 26.8	+38 42 50.5	8.2	2011/11/21
Kepler-22b	87	> 0.11	> 36 (1σ)	0.212	2.38	<14.7	262	7.415	289.8623	0.849	[0]	89.764	190	5518	0.970	0.979	-0.29	19 16 52.2	+47 53 4.2	11.664	2011/12/01
Kepler-23b	168	> 0.8	> 200	0.17	1.9	--	--	4.77	7.1073	0.075	--	--	~800	5760	1.11	1.52	-0.09†	19 36 52.54	+49 28 45.2	13.438	2012/01/26
Kepler-23c	168	> 2.7	> 860	0.29	3.2	--	--	6.13	10.7421	0.099	--	--	~800	5760	1.11	1.52	-0.09†	19 36 52.54	+49 28 45.2	13.438	2012/01/26
Kepler-24b	1102	> 1.6	> 510	0.21	2.4	--	--	4.02	8.1453	0.080	--	--	~1200	5800	1.03	1.07	-0.24†	19 21 39.18	+38 20 37.5	14.925	2012/01/26
Kepler-24c	1102	> 1.6	> 510	0.25	2.8	--	--	3.71	12.3335	0.106	--	--	~1200	5800	1.03	1.07	-0.24†	19 21 39.18	+38 20 37.5	14.925	2012/01/26
Kepler-25b	244	> 12.7	> 4040	0.23	2.6	--	--	3.58	6.2385	0.068	--	--	--	6190	1.22	1.36	+0.01†	19 06 33.21	+39 29 16.4	10.734	2012/01/26
Kepler-25c	244	> 4.16	> 1320	0.40	4.5	--	--	2.89	12.7204	0.110	--	--	--	6190	1.22	1.36	+0.01†	19 06 33.21	+39 29 16.4	10.734	2012/01/26
Kepler-26b	250	> 0.380	> 121	0.32	3.6	--	--	2.82	12.2829	0.085	--	--	--	4500	0.65	0.59	-0.21†	18 59 45.84	+46 33 59.5	15.473	2012/01/26
Kepler-26c	250	> 0.375	> 119	0.32	3.6	--	--	2.12	17.2513	0.107	--	--	--	4500	0.65	0.59	-0.21†	18 59 45.84	+46 33 59.5	15.473	2012/01/26
Kepler-27b	841	> 9.11	> 2900	0.36	4.0	--	--	3.47	15.3348	0.118	--	--	--	5400	0.65	0.59	+0.41†	19 28 56.82	+41 05 09.2	15.855	2012/01/26
Kepler-27c	841	> 13.8	> 4390	0.44	4.9	--	--	4.75	31.3309	0.191	--	--	--	5400	0.65	0.59	+0.41†	19 28 56.82	+41 05 09.2	15.855	2012/01/26
Kepler-28b	870	> 1.51	> 480	0.32	3.6	--	--	2.77	5.9123	0.062	--	--	--	4590	0.75	0.70	+0.34†	19 28 32.89	+42 25 45.9	15.036	2012/01/26
Kepler-28c	870	> 1.36	> 432	0.30	3.4	--	--	4.39	8.9858	0.081	--	--	--	4590	0.75	0.70	+0.34†	19 28 32.89	+42 25 45.9	15.036	2012/01/26
Kepler-29b	738	> 0.4	> 100	0.32	3.6	--	815	2.81	10.336	0.09	--	--	~1400	5750	1.00	0.96	0.0	19 53 23.60	+47 29 28.4	15.282	2012/01/26
Kepler-29c	738	> 0.3	> 100	0.26	2.9	--	749	3.05	13.2907	0.11	--	--	~1400	5750	1.00	0.96	0.0	19 53 23.60	+47 29 28.4	15.282	2012/01/26
Kepler-30b	806	> 0.2	> 60	0.33	3.7	--	548	4.80	29.329	0.18	--	--	~1400	5498	0.99	0.95	+0.18	19 01 08.07	+38 56 50.2	15.403	2012/01/26
Kepler-30c	806	> 9.1	> 2900	1.28	14.4	--	431	5.741	60.3251	0.30	--	--	~1400	5498	0.99	0.95	+0.18	19 01 08.07	+38 56 50.2	15.403	2012/01/26
Kepler-30d	806	> 17	> 5400	0.952	10.7	--	323	7.728	143.213	0.5	--	--	~1400	5498	0.99	0.95	+0.18	19 01 08.07	+38 56 50.2	15.403	2012/01/26
Kepler-31b	935	> 6.8	> 2200	0.38	4.3	--	776	4.99	20.8613	0.16	--	--	~2100	6340	1.21	1.22	-0.076	19 36 05.52	+45 51 11.1	15.237	2012/01/26
Kepler-31c	935	> 4.7	> 1500	0.37	4.2	--	612	6.02	42.6318	0.26	--	--	~2100	6340	1.21	1.22	-0.076	19 36 05.52	+45 51 11.1	15.237	2012/01/26
Kepler-32b	952	> 4.1	> 1300	0.36	4.1	--	542	2.11	5.90124	0.05	--	--	280	3900	0.58	0.53	0.0	19 51 22.18	+46 34 27.4	15.913	2012/01/26
Kepler-32c	952	> 0.5	> 200	0.33	3.7	--	475	2.3	8.7522	0.09	--	--	280	3900	0.58	0.53	0.0	19 51 22.18	+46 34 27.4	15.913	2012/01/26
Kepler-33b	707	--	--	0.134	1.504	--	--	4.80	5.667939	0.06544	(0)	88.03	--	5849	1.164	1.615	+0.12†	19 16 18.61	+46 00 18.8	13.988	2012/01/26
Kepler-33c	707	--	--	0.245	2.751	--	--	6.616	13.17563	0.11484	(0)	89.46	--	5849	1.164	1.615	+0.12†	19 16 18.61	+46 00 18.8	13.988	2012/01/26
Kepler-33d	707	--	--	0.406	4.564	--	--	7.987	21.7759	0.16053	(0)	(90)	--	5849	1.164	1.615	+0.12†	19 16 18.61	+46 00 18.8	13.988	2012/01/26
