# KOI      Rp[Re]        Mp[Me],      rhoP[g/cc]     Rstar_error      pl_mass_1sig_error
k00041      2.61000      5.15139      0.78980747     0.192700      8.65972
k00041      1.55000      7.28995       9.9750605     0.192700      10.2996
k00041      1.76000      2.94164       0.0000000     0.192700      6.58406
k00082      2.54000      7.74140       2.8938974    0.0236000      10.6142
k00082      1.34000      4.59716       9.7188359    0.0236000      7.15179
k00082      1.08000      8.07194       34.434887    0.0236000      12.1278
k00082     0.689999     0.879479       0.0000000    0.0236000      2.06007
k00082     0.539999      1.31194       6.0874199    0.0236000      2.90800
k00104      3.35999      13.7994       2.1892240    0.0334000      16.8949
#k00104      3.35999      3061.81       424.74252    0.0334000      3349.89 # non-transiting
k00116      2.47000      11.8185       3.7089776     0.158400      16.5508
k00116      2.52000      14.3257       3.7107179     0.158400      22.8834
k00116     0.809999      3.07569       1.8020365     0.158400      6.36678
k00116     0.929998      2.16583       0.0000000     0.158400      5.23409
k00122      3.86000      9.96804      0.93570465     0.176700      13.4825
k00148      2.14000      5.63809       2.5928191    0.0466000      9.63610
k00148      3.14999      14.7527       2.6444441    0.0466000      19.1169
k00148      2.35000      12.6603       4.5665655    0.0466000      20.8716
#k00148      2.35000      681.155       289.81366    0.0466000      703.093  #non-transiting
k00153      2.47000      2.81393       0.0000000    0.0199000      6.64402
k00153      2.07000      9.74462       6.0608921    0.0199000      14.3200
k00244      5.65000      23.8924      0.76433840     0.175000      29.2640
k00244      2.95000      7.94665       1.7541714     0.175000      11.5613
#k00244      3.39999      83.0991       12.033067     0.175000      100.443 #non-transiting???
k00245      2.00000      1.65467       0.0000000    0.0280000      3.83696
k00245     0.749999      4.37688       42.356818    0.0280000      7.69975
k00245     0.339999      1.59009       0.0000000    0.0280000      3.49629
k00246      2.53000      7.42836       2.4954272    0.0234000      8.87960
k00246      1.10000      2.57276       8.3278002    0.0234000      4.48586
#k00246      2.53000      266.663       90.444404    0.0234000      273.078 #non-transiting
#k00261      2.65000      7.13358       1.6569271    0.0915000      10.0591 #<2sigma
k00283      2.41000      13.8390       5.2301682    0.0944000      19.6201
k00292      1.64000      4.00295       4.4341510    0.0925000      6.48284
k00299      1.98000      4.13599       2.6786744     0.172500      6.31095
#k00299      2.20000      30.0779       18.241079     0.172500    42.2761 #non-transiting
k00305      1.57000      6.67613       9.1928799    0.0402000      9.11798
k00321      1.50000      6.26788       11.026127    0.0150000      7.95528
k00321     0.839999      3.12234       12.943431    0.0150000      5.15127
#k00321     0.820000      16.6122       166.15477    0.0150000      30.8839 #non-transiting
k00975      1.72000      2.41354       0.0000000     0.279100      5.69011
k01612     0.830000      1.64904       3.2136907     0.196600      3.25669
