NAME,R,RUPPER,RLOWER,MSINI,MSINIUPPER,MSINILOWER,I,PER,A,AUPPER,ALOWER,TEFF,TEFFUPPER,TEFFLOWER,RSTAR,RSTARUPPER,RSTARLOWER,ECC,FIRSTREF,FIRSTURL,ORBREF,ORBURL
,rjupiter,rjupiter,rjupiter,mjupiter,mjupiter,mjupiter,deg,day,au,au,au,k,k,k,rsun,rsun,rsun,,,,,
55 Cnc e,0.1855649948,0.0142742004,0.0142742004,0.0245724712,0.0020408733,0.0020408733,83.4000015259,0.736543,0.0154392142,0.0002573203,0.0002573203,5196,24,24,0.9430000186,0.0099999998,0.0099999998,0.057,McArthur 2004,http://adsabs.harvard.edu/abs/2004ApJ...614L..81M,Demory 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A.114D
CoRoT-1 b,1.4900000095,0.0799999982,0.0799999982,1.0260266066,0.1235662699,0.1235662699,85.0999984741,1.5089557,0.0253190771,0.001332583,0.001332583,5950,150,150,1.1100000143,0.0500000007,0.0500000007,0,Barge 2008,http://adsabs.harvard.edu/abs/2008A%26A...482L..17B,Barge 2008,http://adsabs.harvard.edu/abs/2008A%26A...482L..17B
CoRoT-10 b,0.9700000286,0.0700000003,0.0700000003,2.7544760704,0.160035491,0.160035491,88.5500030518,13.2406,0.1054634601,0.0019749715,0.0019749715,5075,75,75,0.7900000215,0.0500000007,0.0500000007,0.5299999714,Bonomo 2010,http://adsabs.harvard.edu/abs/2010A&A...520A..65B,Bonomo 2010,http://adsabs.harvard.edu/abs/2010A&A...520A..65B
CoRoT-11 b,1.4299999475,0.0299999993,0.0299999993,2.3314628601,0.342012763,0.342012763,83.1699981689,2.99433,0.0440549105,0.0007342485,0.0007342485,6440,120,120,1.3700000048,0.0299999993,0.0299999993,0,Gandolfi 2010,http://adsabs.harvard.edu/abs/2010A&A...524A..55G,Gandolfi 2010,http://adsabs.harvard.edu/abs/2010A&A...524A..55G
CoRoT-12 b,1.4400000572,0.1299999952,0.1299999952,0.9163208604,0.0706803054,0.0706803054,85.4800033569,2.828042,0.0401409268,0.0009247061,0.0009247061,5675,80,80,1.1160000563,0.0960000008,0.0919999928,0.0700000003,Gillon 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..97G,Gillon 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..97G
CoRoT-13 b,0.8849999905,0.0140000004,0.0140000004,1.3102049828,0.0774258524,0.0774258524,88.0199966431,4.03519,0.0510689989,0.00085115,0.00085115,5945,90,90,1.0099999905,0.0299999993,0.0299999993,0,Cabrera 2010,http://adsabs.harvard.edu/abs/2010A&A...522A.110C,Cabrera 2010,http://adsabs.harvard.edu/abs/2010A&A...522A.110C
CoRoT-14 b,1.0900000334,0.0700000003,0.0700000003,7.568230629,0.4530472457,0.4530472457,79.5999984741,1.51214,0.0269122422,0.000714486,0.000714486,6035,100,100,1.2100000381,0.0799999982,0.0799999982,0,Tingley 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..97T,Tingley 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..97T
CoRoT-17 b,1.0199999809,0.0700000003,0.0700000003,2.4589779377,0.2774016261,0.2774016261,88.3399963379,3.7681,0.0480498746,0.0015400623,0.0015400623,5740,80,80,1.5120999813,0.0494171008,0.0494171008,0,Csizmadia 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..41C,Csizmadia 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..41C
CoRoT-18 b,1.3099999428,0.1800000072,0.1800000072,3.4800195694,0.375551343,0.375551343,86.5,1.9000693,0.0295483116,0.0015551744,0.0015551744,5440,100,100,1,0.1299999952,0.1299999952,0.0399999991,Hebrard 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A.130H,Hebrard 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A.130H
