NAME,MSINI,MSINIUPPER,MSINILOWER,UMSINI,R,RUPPER,RLOWER,UR,MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,TEFF,TEFFUPPER,TEFFLOWER,UTEFF,A,AUPPER,ALOWER,UA,PER,ECC,I,FIRSTREF,FIRSTURL,ORBREF,ORBURL,DATE
#,mearth,mearth,mearth,mearth,rearth,rearth,rearth,rearth,msun,msun,msun,msun,rsun,rsun,rsun,rsun,k,k,k,k,au,au,au,au,day,,deg,,,,,
55 Cnc e,8.324379813196746,0.39241452646379427,0.39241452646379427,0.39241452646379427,2.079994509336636,0.1599992327495649,0.1599992327495649,0.1599992327495649,0.905,0.015,0.015,0.015,0.943,0.01,0.01,0.01,5196,24,24,24,0.0154393,0.000257321,0.000257321,0.000257321,0.736546,0,83.4,McArthur 2004,http://adsabs.harvard.edu/abs/2004ApJ...614L..81M,Endl 2012,http://adsabs.harvard.edu/abs/2012ApJ...759...19E,2004
CoRoT-1 b,326.08937782464596,39.27132740785377,39.27132740785377,39.27132740785377,16.701381289098634,0.8967184584750945,0.8967184584750945,0.8967184584750945,0.95,0.15,0.15,0.15,1.11,0.05,0.05,0.05,5950,150,150,150,0.0253191,0.00133258,0.00133258,0.00133258,1.5089557,0,85.1,Barge 2008,http://adsabs.harvard.edu/abs/2008A%26A...482L..17B,Barge 2008,http://adsabs.harvard.edu/abs/2008A%26A...482L..17B,2008
CoRoT-10 b,875.4194998493523,50.86178141006327,50.86178141006327,50.86178141006327,10.87271130901052,0.7846286511657077,0.7846286511657077,0.7846286511657077,0.89,0.05,0.05,0.05,0.79,0.05,0.05,0.05,5075,75,75,75,0.105463,0.00197497,0.00197497,0.00197497,13.2406,0.53,88.55,Bonomo 2010,http://adsabs.harvard.edu/abs/2010A&A...520A..65B,Bonomo 2010,http://adsabs.harvard.edu/abs/2010A&A...520A..65B,2010
CoRoT-11 b,740.976716882595,108.69741272471627,108.69741272471627,108.69741272471627,16.02884244524231,0.3362694219281604,0.3362694219281604,0.3362694219281604,1.27,0.05,0.05,0.05,1.37,0.03,0.03,0.03,6440,120,120,120,0.0440549,0.000734249,0.000734249,0.000734249,2.99433,0,83.17,Gandolfi 2010,http://adsabs.harvard.edu/abs/2010A&A...524A..55G,Gandolfi 2010,http://adsabs.harvard.edu/abs/2010A&A...524A..55G,2010
CoRoT-12 b,291.2220352013659,22.46337344079542,22.46337344079542,22.46337344079542,16.1409322525517,1.4571674950220284,1.4571674950220284,1.4571674950220284,1.078,0.077,0.072,0.0745,1.116,0.096,0.092,0.094,5675,80,80,80,0.0401409,0.000924706,0.000924706,0.000924706,2.828042,0.07,85.48,Gillon 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..97G,Gillon 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..97G,2010
CoRoT-13 b,416.4033242944662,24.607237174851864,24.607237174851864,24.607237174851864,9.919947946880733,0.15692573023314152,0.15692573023314152,0.15692573023314152,1.09,0.02,0.02,0.02,1.01,0.03,0.03,0.03,5945,90,90,90,0.051069,0.00085115,0.00085115,0.00085115,4.03519,0,88.02,Cabrera 2010,http://adsabs.harvard.edu/abs/2010A&A...522A.110C,Cabrera 2010,http://adsabs.harvard.edu/abs/2010A&A...522A.110C,2010
CoRoT-14 b,2405.3092131164003,143.98586235814,143.98586235814,143.98586235814,12.217788996723163,0.7846286511657077,0.7846286511657077,0.7846286511657077,1.13,0.09,0.09,0.09,1.21,0.08,0.08,0.08,6035,100,100,100,0.0269122,0.000714486,0.000714486,0.000714486,1.51214,0,79.6,Tingley 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..97T,Tingley 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..97T,2011
CoRoT-16 b,170.3315881791704,27.81270373606508,27.81270373606508,27.81270373606508,13.114507455198254,1.5692573023314154,1.7934369169501885,1.6813471096408021,1.098,0.082,0.078,0.08,1.19,0.14,0.13,0.135,5650,100,100,100,0.0617874,0.00150061,0.00150061,0.00150061,5.35227,0.33,85.01,Ollivier 2012,http://adsabs.harvard.edu/abs/2012A%26A...541A.149O,Ollivier 2012,http://adsabs.harvard.edu/abs/2012A%26A...541A.149O,2012
CoRoT-17 b,781.5046911720398,88.16296364366777,88.16296364366777,88.16296364366777,11.433160345557454,0.7846286511657077,0.7846286511657077,0.7846286511657077,1.04,0.1,0.1,0.1,1.5121,0.0494171,0.0494171,0.0494171,5740,80,80,80,0.0480499,0.00154006,0.00154006,0.00154006,3.7681,0,88.34,Csizmadia 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..41C,Csizmadia 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..41C,2011
