NAME,MASS,MASSUPPER,MASSLOWER,UMASS,R,RUPPER,RLOWER,UR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,A,AUPPER,ALOWER,UA,PER,ECC,MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,RHOSTAR,TEFF,TEFFUPPER,TEFFLOWER,UTEFF,LOGG,FE,FEUPPER,FELOWER,UFE,VSINI,SHK,ORBREF,ORBURL,FIRSTREF,FIRSTURL
,mearth,mearth,mearth,mearth,rearth,rearth,rearth,rearth,g/cm^3,g/cm^3,g/cm^3,g/cm^3,au,au,au,au,day,,msun,msun,msun,msun,rsun,rsun,rsun,rsun,g/cm^3,k,k,k,k,,,,,,km/s,,,,,
55 Cnc e,8.379902375213417,0.39241452646379427,0.39241452646379427,0.39241452646379427,2.079994509336636,0.1599992327495649,0.1599992327495649,0.1599992327495649,4.173,0.602,0.602,0.602,0.0154393,0.000257321,0.000257321,0.000257321,0.736546,0,0.905,0.015,0.015,0.015,0.943,0.01,0.01,0.01,,5196,24,24,24,4.45,0.314513,0.03,0.03,0.03,2.46053,0.165,Endl 2012,http://adsabs.harvard.edu/abs/2012ApJ...759...19E,McArthur 2004,http://adsabs.harvard.edu/abs/2004ApJ...614L..81M
CoRoT-1 b,327.28436828361953,39.27132740785377,39.27132740785377,39.27132740785377,16.701381289098634,0.8967184584750945,0.8967184584750945,0.8967184584750945,0.38,0.05,0.05,0.05,0.0253191,0.00133258,0.00133258,0.00133258,1.5089557,0,0.95,0.15,0.15,0.15,1.11,0.05,0.05,0.05,,5950,150,150,150,4.25,-0.3,0.25,0.25,0.25,5.2,,Barge 2008,http://adsabs.harvard.edu/abs/2008A%26A...482L..17B,Barge 2008,http://adsabs.harvard.edu/abs/2008A%26A...482L..17B
CoRoT-10 b,875.6991784674099,50.86178141006327,50.86178141006327,50.86178141006327,10.87271130901052,0.7846286511657077,0.7846286511657077,0.7846286511657077,3.7,0.83,0.83,0.83,0.105463,0.00197497,0.00197497,0.00197497,13.2406,0.53,0.89,0.05,0.05,0.05,0.79,0.05,0.05,0.05,2.371,5075,75,75,75,4.65,0.26,0.07,0.07,0.07,2,,Bonomo 2010,http://adsabs.harvard.edu/abs/2010A&A...520A..65B,Bonomo 2010,http://adsabs.harvard.edu/abs/2010A&A...520A..65B
CoRoT-11 b,746.2747197951189,108.69741272471627,108.69741272471627,108.69741272471627,16.02884244524231,0.3362694219281604,0.3362694219281604,0.3362694219281604,0.99,0.15,0.15,0.15,0.0440549,0.000734249,0.000734249,0.000734249,2.99433,0,1.27,0.05,0.05,0.05,1.37,0.03,0.03,0.03,0.4929,6440,120,120,120,4.22,-0.03,0.08,0.08,0.08,40,,Gandolfi 2010,http://adsabs.harvard.edu/abs/2010A&A...524A..55G,Gandolfi 2010,http://adsabs.harvard.edu/abs/2010A&A...524A..55G
CoRoT-12 b,292.1306728934418,22.46337344079542,22.46337344079542,22.46337344079542,16.1409322525517,1.4571674950220284,1.4571674950220284,1.4571674950220284,0.41097,0.12901,0.09442999999999999,0.11172,0.0401409,0.000924706,0.000924706,0.000924706,2.828042,0.07,1.078,0.077,0.072,0.0745,1.116,0.096,0.092,0.094,0.77,5675,80,80,80,4.375,0.16,0.1,0.1,0.1,1,,Gillon 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..97G,Gillon 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..97G
CoRoT-13 b,416.65439941749526,24.607237174851864,24.607237174851864,24.607237174851864,9.919947946880733,0.15692573023314152,0.15692573023314152,0.15692573023314152,2.34,0.23,0.23,0.23,0.051069,0.00085115,0.00085115,0.00085115,4.03519,0,1.09,0.02,0.02,0.02,1.01,0.03,0.03,0.03,1.04857,5945,90,90,90,4.3,0.01,0.07,0.07,0.07,4,,Cabrera 2010,http://adsabs.harvard.edu/abs/2010A&A...522A.110C,Cabrera 2010,http://adsabs.harvard.edu/abs/2010A&A...522A.110C
CoRoT-14 b,2445.4844109671585,143.98586235814,143.98586235814,143.98586235814,12.217788996723163,0.7846286511657077,0.7846286511657077,0.7846286511657077,7.3,1.5,1.5,1.5,0.0269122,0.000714486,0.000714486,0.000714486,1.51214,0,1.13,0.09,0.09,0.09,1.21,0.08,0.08,0.08,0.65,6035,100,100,100,4.35,0.05,0.15,0.15,0.15,9,,Tingley 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..97T,Tingley 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..97T
CoRoT-16 b,170.97961624987445,27.81270373606508,27.81270373606508,27.81270373606508,13.114507455198254,1.5692573023314154,1.7934369169501885,1.6813471096408021,0.44,0.21,0.13999999999999999,0.175,0.0617874,0.00150061,0.00150061,0.00150061,5.35227,0.33,1.098,0.082,0.078,0.08,1.19,0.14,0.13,0.135,0.93,5650,100,100,100,4.36,0.19,0.06,0.06,0.06,0.5,,Ollivier 2012,http://adsabs.harvard.edu/abs/2012A%26A...541A.149O,Ollivier 2012,http://adsabs.harvard.edu/abs/2012A%26A...541A.149O
CoRoT-17 b,781.8320422818117,88.16296364366777,88.16296364366777,88.16296364366777,11.433160345557454,0.7846286511657077,0.7846286511657077,0.7846286511657077,2.82,0.38,0.38,0.38,0.0480499,0.00154006,0.00154006,0.00154006,3.7681,0,1.04,0.1,0.1,0.1,1.5121,0.0494171,0.0494171,0.0494171,,5740,80,80,80,4.4,0,0.1,0.1,0.1,4.5,,Csizmadia 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..41C,Csizmadia 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..41C
CoRoT-18 b,1108.0739720799436,119.35634623882696,119.35634623882696,119.35634623882696,14.683764757529671,2.0176165315689625,2.0176165315689625,2.0176165315689625,2.2,0.8,0.8,0.8,0.0295483,0.00155517,0.00155517,0.00155517,1.9000693,0.04,0.95,0.15,0.15,0.15,1,0.13,0.13,0.13,1.35,5440,100,100,100,4.4,-0.1,0.1,0.1,0.1,8,,Hebrard 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A.130H,Hebrard 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A.130H
