            55 Cnc e     0.737      8.38$\pm$0.39            2.21$\pm$0.15        2439.690                    \citet{McArthur2004}                        \citet{Endl2012}
           CoRoT-7 b     0.854      5.02$\pm$0.86            1.68$\pm$0.09        1779.433            \citet{Queloz2009,Leger2009}                      \citet{Queloz2009}
           GJ 1214 b     1.580      6.26$\pm$0.91            2.80$\pm$0.24          16.631                 \citet{Charbonneau2009}                      \citet{Carter2011}
          HD 97658 b     9.491      7.87$\pm$0.73            2.34$\pm$0.16          48.106                      \citet{Howard2011}                    \citet{Dragomir2013}
         Kepler-10 b     0.837      4.54$\pm$1.25            1.42$\pm$0.03        3572.048                     \citet{Batalha2011}                     \citet{Batalha2011}
         Kepler-11 b    10.304      1.90$\pm$1.20            1.80$\pm$0.04         126.512                    \citet{Lissauer2011}                    \citet{Lissauer2013}
         Kepler-11 c    13.024      2.90$\pm$2.20            2.87$\pm$0.06          91.443                    \citet{Lissauer2011}                    \citet{Lissauer2013}
         Kepler-11 d    22.684      7.30$\pm$1.10            3.12$\pm$0.07          43.563                    \citet{Lissauer2011}                    \citet{Lissauer2013}
         Kepler-11 f    46.689      2.00$\pm$0.80            2.49$\pm$0.06          16.747                    \citet{Lissauer2011}                    \citet{Lissauer2013}
         Kepler-18 b     3.505      6.90$\pm$3.48            2.00$\pm$0.10         462.244                     \citet{Borucki2011}                     \citet{Cochran2011}
         Kepler-20 b     3.696      8.47$\pm$2.12            1.91$\pm$0.16         346.711                     \citet{Borucki2011}                     \citet{Gautier2012}
         Kepler-20 c    10.854     15.73$\pm$3.31            3.07$\pm$0.25          82.445                     \citet{Borucki2011}                     \citet{Gautier2012}
         Kepler-20 d    77.612      7.53$\pm$7.22            2.75$\pm$0.23           5.985                     \citet{Borucki2011}                     \citet{Gautier2012}
         Kepler-36 b    13.840      4.46$\pm$0.30            1.48$\pm$0.03         217.365                     \citet{Borucki2011}                      \citet{Carter2012}
         Kepler-36 c    16.239      8.10$\pm$0.53            3.68$\pm$0.05         175.646                      \citet{Carter2012}                      \citet{Carter2012}
         Kepler-68 b     5.399      8.30$\pm$2.30            2.31$\pm$0.03         409.092                     \citet{Borucki2011}                   \citet{Gilliland2013}
         Kepler-68 c     9.605      4.38$\pm$2.80            0.95$\pm$0.04         189.764                     \citet{Batalha2013}                   \citet{Gilliland2013}
            KOI-94 b     3.743      9.40$\pm$4.50            1.77$\pm$0.17        1155.374                       \citet{Weiss2013}                       \citet{Weiss2013}
              Kic843     0.354      1.78$\pm$0.30            1.20$\pm$0.09        3093.388             \citet{Sanchis-Ojeda(2013)}             \citet{Sanchis-Ojeda(2013)}
           KOI-41.01    12.816      0.85$\pm$4.00            2.20$\pm$0.05         213.371                     \citet{Borucki2011}                       \citet{Marcy2013}
           KOI-41.02     6.887      7.34$\pm$3.20            1.32$\pm$0.04         472.831                     \citet{Borucki2011}                       \citet{Marcy2013}
           KOI-41.03    35.333     -4.36$\pm$4.10            1.61$\pm$0.05          55.812                     \citet{Borucki2011}                       \citet{Marcy2013}
           KOI-69.01     4.727      2.59$\pm$2.00            1.50$\pm$0.03         220.120                     \citet{Borucki2011}                       \citet{Marcy2013}
           KOI-82.01    16.146      8.93$\pm$2.00            2.22$\pm$0.07          17.278                     \citet{Borucki2011}                       \citet{Marcy2013}
