  KOI     ,                   Per     ,     R      ,   err(R)       ,      M    ,   err(M)   ,      rho_pl  , err(rho_pl)  ,   K    ,     err(K)    ,      rho*  ,  err(rho*)   ,     b   ,   err(b)      ,                rp/R*     ,                  Epoch of transit ,  Upper Limit to Mass
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  
   41.01 ,                  12.8159 ,     2.20  ,  0.05  ,          0.85  ,  4.0  ,         0.35  ,  1.65  ,          0.18  ,  0.8  ,         0.44  ,  0.01  ,         0.05  ,  0.04  ,                    0.013550 ,                  55.94713   , 7.05
   41.02 ,                  6.88705 ,     1.32  ,  0.04  ,          7.34  ,  3.2  ,        14.25  ,  6.33  ,          1.90  ,  0.8  ,         0.44  ,  0.01  ,         0.54  ,  0.02  ,                    0.008094 ,                  66.17797   , 10.0
   41.03 ,                  35.3331 ,     1.61  ,  0.05  ,         -4.36  ,  4.1  ,        -5.72  ,  6.00  ,         -0.79  ,  1.0  ,         0.44  ,  0.01  ,         0.75  ,  0.01  ,                    0.009926 ,                  86.98031   , 3.0
   69.01 ,                   4.72674 ,     1.50  ,  0.03  ,          2.59  ,  2.0  ,         4.17  ,  3.29  ,          1.05  ,  0.8  ,         1.64  ,  0.01  ,         0.20  ,  0.02  ,                    0.014927 ,                  67.92580   , 6.1
   82.01 ,                  16.1457 ,     2.22  ,  0.07  ,          8.93  ,  2.0  ,         4.68  ,  1.12  ,          2.77  ,  0.6  ,         2.76  ,  0.09  ,         0.30  ,  0.03  ,                    0.027639 ,                  67.75384   ,11.7
   82.02 ,                  10.3117 ,     1.18  ,  0.04  ,          3.80  ,  1.8  ,        13.27  ,  6.46  ,          1.37  ,  0.6  ,         2.76  ,  0.09  ,         0.22  ,  0.05  ,                    0.014682 ,                  67.07920   , 6.6
   82.03 ,                  27.4536 ,     0.88  ,  0.03  ,          0.62  ,  3.3  ,         4.92  ,  24.5  ,          2.11  ,  0.8  ,         2.76  ,  0.09  ,         0.57  ,  0.03  ,                    0.010963 ,                  78.02565   , 5.2
   82.04 ,                  7.07142 ,     0.58  ,  0.02  ,         -1.58  ,  2.0  ,      -44.24  ,  56.7   ,         -1.00  ,  0.6  ,         2.76  ,  0.09  ,         0.06  ,  0.05  ,                    0.007228 ,                  72.98486   , 3.0
   82.05 ,                  5.28696 ,     0.47  ,  0.02  ,          0.41  ,  1.6  ,       23.29  ,  94.93  ,          0.19  ,  0.7  ,         2.76  ,  0.09  ,         0.06  ,  0.06  ,                    0.005800 ,                  68.84920   , 4.3
  104.01 ,                  2.50806 ,     3.51  ,  0.15  ,         10.84  ,  1.4  ,         1.45  ,  0.26  ,          6.11  ,  0.8  ,         2.90  ,  0.23  ,         0.85  ,  0.01  ,                    0.042380 ,                  67.99980   , 16.5
  108.01 ,                  15.9654 ,     3.37  ,  0.09  ,         14.11  ,  4.7  ,         2.02  ,  0.59  ,          3.38  ,  0.9  ,         0.52  ,  0.02  ,         0.72  ,  0.01  ,                    0.021500 ,                  75.17614   , 27.0
  108.02 ,                  179.612 ,     5.13  ,  0.14  ,         36.4  ,  25.3  ,        1.47  ,  3.97   ,          3.88  ,  2.7  ,         0.52  ,  0.02  ,         0.44  ,  0.02  ,                    0.032766 ,                 228.32581   , 85.4
  116.01 ,                  13.5708 ,     2.50  ,  0.32  ,         10.44  ,  3.2  ,         3.28  ,  1.56  ,          2.71  ,  0.8  ,         1.38  ,  0.15  ,         0.69  ,  0.03  ,                    0.022113 ,                  69.27837   , 18.8
  116.02 ,                  43.8445 ,     2.56  ,  0.33  ,         11.17  ,  5.8  ,         3.10  ,  2.07  ,          1.95  ,  1.0  ,         1.38  ,  0.15  ,         0.28  ,  0.13  ,                    0.022676 ,                  84.93360   , 24.8
  116.03 ,                  6.16486 ,     0.82  ,  0.11  ,          0.15  ,  2.8  ,        1.26  ,  26.26  ,          0.05  ,  0.9  ,         1.38  ,  0.15  ,         0.39  ,  0.15  ,                    0.007258 ,                  68.64035   , 5.3
  116.04 ,                  23.9802 ,     0.95  ,  0.13  ,        -6.39  ,  7.0  ,       -41.00  ,  39.75  ,         -2.84  ,  0.9  ,         1.38  ,  0.15  ,         0.45  ,  0.11  ,                    0.008362 ,                  80.53263   , 8.1
  122.01 ,                  11.5231 ,     3.42  ,  0.09  ,          13.0  ,  2.9  ,         1.71  ,  0.37  ,          3.36  ,  0.6  ,         0.54  ,  0.02  ,         0.74  ,  0.01  ,                    0.022166 ,                  64.96841   , 16.7
  123.01 ,                  6.48163 ,     2.37  ,  0.07  ,           1.3  ,  5.4  ,           0.3  ,  2.2  ,          0.29  ,  1.8  ,         0.65  ,  0.02  ,         0.58  ,  0.02  ,                    0.016434 ,                  55.97755   , 7.3
  123.02 ,                  21.2227 ,     2.52  ,  0.07  ,          2.22  ,  7.8  ,         0.65  ,  2.30  ,          0.43  ,  1.5  ,         0.65  ,  0.02  ,         0.16  ,  0.08  ,                    0.017432 ,                  70.57250   , 21.8
