koi_star, kid, ra,dec,teff,uteff,logg,ulogg,feh,ufeh,mstar,umstar,rstar,urstar,vsini,vmag,age,source
k00041 ,  6521045 , 19:25:32.6 , 41:59:24 ,  5825 , 75 , 4.125 , 0.03 ,  0.02 , 0.10 ,  1.08 , 0.06 ,  1.49 , 0.04 , 3.7 , 11.20 ,  6.46 ,  AS   
k00069 ,  3544595 , 19:25:40.3 , 38:40:20 ,  5669 , 75 , 4.468 , 0.03 , -0.18 , 0.10 ,  0.91 , 0.06 ,  0.92 , 0.02 , 0.5 ,  9.93 ,  5.05 ,  AS   
k00082 , 10187017 , 18:45:55.8 , 47:12:28 ,  4903 , 44 , 4.607 , 0.03 ,  0.08 , 0.04 ,  0.80 , 0.02 ,  0.74 , 0.02 , 0.5 , 11.49 ,  1.41 , SME   
k00104 , 10318874 , 18:44:46.7 , 47:29:49 ,  4781 , 78 , 4.590 , 0.04 ,  0.34 , 0.04 ,  0.81 , 0.03 ,  0.76 , 0.03 , 0.5 , 12.90 ,  1.41 , SME   
k00108 ,  4914423 , 19:15:56.2 , 40:03:52 ,  5845 , 88 , 4.162 , 0.04 ,  0.07 , 0.11 ,  1.09 , 0.07 ,  1.44 , 0.04 , 2.5 , 12.29 ,  5.70 ,  AS   
k00116 ,  8395660 , 20:03:27.3 , 44:20:15 ,  5858 , 98 , 4.407 , 0.14 , -0.12 , 0.10 ,  1.00 , 0.06 ,  1.04 , 0.17 , 0.3 , 12.88 ,  4.83 , SME   
k00122 ,  8349582 , 18:57:55.7 , 44:23:52 ,  5699 , 74 , 4.171 , 0.04 ,  0.30 , 0.10 ,  1.08 , 0.08 ,  1.41 , 0.04 , 0.7 , 12.35 ,  5.63 ,  AS   
k00123 ,  5094751 , 19:21:34.2 , 40:17:05 ,  5952 , 75 , 4.211 , 0.04 , -0.08 , 0.10 ,  1.04 , 0.06 ,  1.32 , 0.04 , 1.0 , 12.36 ,  5.73 ,  AS   
k00148 ,  5735762 , 19:56:33.4 , 40:56:56 ,  5194 , 43 , 4.487 , 0.05 ,  0.17 , 0.04 ,  0.88 , 0.02 ,  0.89 , 0.05 , 0.5 , 13.04 ,  3.14 , SME   
k00153 , 12252424 , 19:11:59.4 , 50:56:39 ,  4725 , 44 , 4.636 , 0.03 ,  0.05 , 0.04 ,  0.75 , 0.02 ,  0.69 , 0.02 , 0.4 , 13.46 ,  6.89 , SME   
k00244 ,  4349452 , 19:06:33.2 , 39:29:16 ,  6270 , 79 , 4.278 , 0.03 , -0.04 , 0.10 ,  1.19 , 0.06 ,  1.31 , 0.02 , 9.5 , 10.73 , 11.00 ,  AS   
k00245 ,  8478994 , 18:56:14.2 , 44:31:05 ,  5417 , 75 , 4.567 , 0.05 , -0.32 , 0.07 ,  0.80 , 0.07 ,  0.77 , 0.03 , 0.5 ,  9.70 ,  5.66 ,  AS   
k00246 , 11295426 , 19:24:07.7 , 49:02:24 , 5793 , 100 , 4.282 , 0.02 ,  0.12 , 0.04 ,  1.08 , 0.05 ,  1.24 , 0.02 , 0.5 , 10.00 ,  9.36 ,  AS   
k00261 ,  5383248 , 19:48:16.7 , 40:31:30 ,  5690 , 43 , 4.421 , 0.08 ,  0.04 , 0.04 ,  1.00 , 0.02 ,  1.02 , 0.09 , 0.5 , 10.30 ,  2.34 , SME   
k00283 ,  5695396 , 19:14:07.4 , 40:56:32 ,  5685 , 44 , 4.417 , 0.08 ,  0.12 , 0.04 ,  1.02 , 0.02 ,  1.03 , 0.10 , 0.4 , 11.52 ,  3.66 , SME   
k00292 , 11075737 , 19:09:18.3 , 48:40:24 ,  5779 , 44 , 4.430 , 0.08 , -0.20 , 0.04 ,  0.94 , 0.03 ,  0.98 , 0.09 , 0.5 , 12.87 ,  8.42 , SME   
k00299 ,  2692377 , 19:02:38.8 , 37:57:52 ,  5539 , 43 , 4.341 , 0.10 ,  0.18 , 0.04 ,  0.99 , 0.02 ,  1.11 , 0.12 , 0.5 , 12.90 ,  2.79 , SME   
k00305 ,  6063220 , 19:49:24.9 , 41:18:00 , 4782 , 115 , 4.605 , 0.05 ,  0.18 , 0.04 ,  0.79 , 0.03 ,  0.73 , 0.04 , 0.5 , 12.97 ,  1.47 , SME   
k00321 ,  8753657 , 19:27:23.5 , 44:58:05 ,  5538 , 44 , 4.409 , 0.02 ,  0.18 , 0.04 ,  1.07 , 0.04 ,  1.07 , 0.02 , 0.4 , 12.52 ,  5.84 ,  AS   
k01442 , 11600889 , 19:04:08.7 , 49:36:52 ,  5476 , 46 , 4.426 , 0.06 ,  0.04 , 0.00 ,  1.00 , 0.02 ,  1.01 , 0.07 , 2.0 , 12.52 ,  7.47 , SME   
k01612 , 10963065 , 18:59:08.6 , 48:25:23 ,  6104 , 74 , 4.294 , 0.03 , -0.20 , 0.10 ,  1.08 , 0.07 ,  1.23 , 0.03 , 3.1 ,  8.77 ,  6.68 ,  AS   
k01925 ,  9955598 , 19:34:43.0 , 46:51:09 ,  5460 , 75 , 4.499 , 0.03 ,  0.08 , 0.10 ,  0.92 , 0.06 ,  0.89 , 0.02 , 2.0 ,  9.44 ,  6.80 ,  AS   
