---------------Stretch Window  ---->>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>

2013-04-30 : e0: 41, 69, 104, 108, 122, 123, 261, 305, 1612, 1925
             ef: 122

Stellar parameters:
                 
##########################################################################################
#  KOI |     KIC    |  Teff  |sig_Teff|    Fe/H  | sig_Fe/H |     rho    |   sig_rho  |    Rad   | sig_Rad  |    Mass  | sig_Mass |  Source
   41  |   6521045  |  5825  |   75   |   0.020  |   0.101  |  0.457386  |  0.012524  |   1.490  |   0.035  |   1.080  |   0.063  |      this work
   69  |   3544595  |  5669  |   75   |  -0.180  |   0.101  |  1.639686  |  0.010214  |   0.921  |   0.020  |   0.909  |   0.057  |      this work
   82  |  10187017  |  4903  |   44   |   0.080  |   0.040  |  2.832129  |  0.263726  |   0.736  |   0.024  |   0.800  |   0.020  |      SME+YY
  104  |  10318874  |  4781  |   78   |   0.340  |   0.040  |  2.647714  |  0.314766  |   0.757  |   0.033  |   0.814  |   0.025  |      SME+YY
  108  |   4914423  |  5845  |   88   |   0.070  |   0.109  |  0.513098  |  0.019708  |   1.436  |   0.039  |   1.094  |   0.068  |      this work
  116  |   8395660  |  5858  |   98   |  -0.120  |   0.100  |  1.256351  |  0.432747  |   1.037  |   0.167  |   1.003  |   0.057  |      SME+YY
  122  |   8349582  |  5699  |   74   |   0.300  |   0.101  |  0.539867  |  0.018589  |   1.415  |   0.039  |   1.084  |   0.076  |      this work
  123  |   5094751  |  5952  |   75   |  -0.080  |   0.101  |  0.640618  |  0.032259  |   1.323  |   0.037  |   1.039  |   0.065  |      this work
  148  |   5735762  |  5194  |   43   |   0.170  |   0.040  |  1.763232  |  0.297742  |   0.888  |   0.047  |   0.883  |   0.021  |      SME+YY
  153  |  12252424  |  4725  |   44   |   0.050  |   0.040  |  3.233276  |  0.270225  |   0.687  |   0.020  |   0.745  |   0.017  |      SME+YY
  244  |   4349452  |  6270  |   79   |  -0.040  |   0.101  |  0.745290  |  0.008600  |   1.309  |   0.023  |   1.187  |   0.060  |      this work
  245  |   8478994  |  5417  |   75   |  -0.320  |   0.070  |  2.458000  |  0.046000  |   0.772  |   0.026  |   0.803  |   0.068  |   published(e)
  246  |  11295426  |  5793  |  100   |   0.120  |   0.040  |  0.790300  |  0.005400  |   1.243  |   0.019  |   1.079  |   0.051  |   published(f)
  261  |   5383248  |  5690  |   43   |   0.040  |   0.040  |  1.319532  |  0.325032  |   1.017  |   0.094  |   0.995  |   0.023  |      SME+YY
  283  |   5695396  |  5685  |   44   |   0.120  |   0.040  |  1.285963  |  0.314139  |   1.035  |   0.098  |   1.021  |   0.024  |      SME+YY
  292  |  11075737  |  5779  |   44   |  -0.200  |   0.040  |  1.404279  |  0.371017  |   0.978  |   0.094  |   0.939  |   0.025  |      SME+YY
  299  |   2692377  |  5539  |   43   |   0.180  |   0.040  |  1.005466  |  0.323738  |   1.111  |   0.124  |   0.988  |   0.024  |      SME+YY
  305  |   6063220  |  4782  |  115   |   0.180  |   0.040  |  2.837989  |  0.384621  |   0.732  |   0.040  |   0.788  |   0.034  |      SME+YY
  321  |   8753657  |  5538  |   44   |   0.180  |   0.040  |  1.125124  |  0.022992  |   1.069  |   0.021  |   1.070  |   0.040  |      astero Kjedsen 8/17/12
 1019  |   8179973  |  5009  |   75   |  -0.020  |   0.101  |  0.040575  |  0.000467  |   3.585  |   0.090  |   1.327  |   0.094  |      this work
 1442  |  11600889  |  5476  |   46   |   0.036  |   0.003  |  1.341198  |  0.268303  |   1.015  |   0.071  |   1.003  |   0.021  |      SME+YY
 1612  |  10963065  |  6104  |   74   |  -0.200  |   0.101  |  0.821926  |  0.010067  |   1.225  |   0.027  |   1.079  |   0.069  |      this work
 1925  |   9955598  |  5460  |   75   |   0.080  |   0.101  |  1.810606  |  0.003239  |   0.893  |   0.018  |   0.918  |   0.057  |      this work

2013-02-12 - When stellar parameters are derived by SME+YY, then I provide estimates of the mass fraction (Z), stellar luminosity (Lsun) and Age (Gyr).  If the results are based on asteroseisomlogy then I only report stellar parameters based on the table above.  

-----------
MCMC Models 
-----------

The models are based on a joint fit to the RVs and transit photometry.  The adopted stellar parameters are listed first (R,M,Z,Teff,L,Age,log(g),<rhostar>.  Followed by parameters for the transit model <rhostar>,gamma,T0,P,b,r/R*,K and if fit ecosw,esinw followed by derived parameters Mp, Rp, i, a/R*, a, Tdepth, <rho_p>, log(g)_p, Teq.  <rhostar> is constrained in the transit fit by the stellar parameterization so it is listed twice.

I've done 2 sets of models for each system.  A simplified model with circular orbits (except when eccentricity is clearly seen) and a second model allowing for fully eccentric models. 

Teq was computed with:

Teq = Ts sqrt(Rs/2a) [f (1-Ab)] ^ 0.25,

where Ts is the effective temperature of the star, Rs is the stellar radius, a is the planet semi-major axis, Ab is the Bond albedo and f is a proxy for day-night redistribution with 1=full redistribution and 2 for no redistribution.  I assumed that Ab is a random number from 0 to 0.5 and f is a random number from 1 to 2.


----------
KOI Tables
----------

Non-transiting KOIs start with .1X, transiting KOIs start with .0X.  First line are the parameter values, second is the uncertanity

Mp for non-transiting planets is Mp sini.

K, Mp and rho_p can be negative, but log(g)_p cannot! 

If a variable was fixed during the fits, then the error is set to zero.

[e=0 models]
  KOI    <rhostar>      T0            P        r/R*     b       K    ecosw  esinw    Mp     Rp     i       a/R*      a       Tdepth   rhop loggp  Teq
          gcm3      BJD-2454900      Days                      m/s                   Me     Re    deg               AU        ppm     gcm3  cgs    K
-----------------------------------------------------------------------------------------------------------------------------------------------------
  41.01  0.443314   55.947128   12.81587982 0.013550 0.0505    0.18  0.000  0.000    0.85  2.204 89.817   15.672   0.109953   223.41  0.35 2.720 1056.
  u       0.006837    0.001160    0.00002348 0.000068 0.0406    0.83  0.000  0.000    3.97  0.052  0.146    0.080   0.002112     2.18  1.65 0.338   77.
  41.02  0.443314   66.177971    6.88704967 0.008094 0.5407    1.90  0.000  0.000    7.34  1.316 87.043   10.359   0.072682    74.63 14.25 3.532 1300.
  u       0.006837    0.002471    0.00002745 0.000127 0.0228    0.81  0.000  0.000    3.15  0.037  0.155    0.053   0.001398     2.13  6.33 0.187   94.
  41.03  0.443314   86.980309   35.33311844 0.009926 0.7525   -0.79  0.000  0.000   -5.31  1.614 88.618   30.813   0.216178   100.46 -5.57 2.997  754.
  u       0.006837    0.005011    0.00025760 0.000210 0.0132    1.05  0.000  0.000    6.99  0.050  0.048    0.158   0.004161     3.88  7.47 0.441   55.
  69.01  1.639936   67.925804    4.72673893 0.014927 0.2013    1.05  0.000  0.000    2.59  1.501 89.075   12.465   0.053394   265.33  4.17 3.101 1160.
  u       0.009985    0.000291    0.00000212 0.000038 0.0177    0.82  0.000  0.000    2.03  0.032  0.086    0.025   0.001103     2.92  3.29 0.278   84.
  69.10  1.639936 50204.00000  10782.888539 0.000000 0.0000  574.06  0.000  0.000 44235.0  0.000 90.000 10026.00  42.949635     0.00  0.00 0.000   41.
  u       0.009985 5248.212402    0.00000000 0.000000 0.0000   34.09  0.000  0.000 2924.41  0.000  0.000   20.325   0.886730     0.00  0.00 0.000    3.
  82.01  2.764367   67.753838   16.14567375 0.027639 0.2973    2.77  0.000  0.000    8.93  2.222 89.496   33.647   0.116049   945.56  4.68 3.270  609.
  u       0.087719    0.000312    0.00000782 0.000106 0.0339    0.60  0.000  0.000    1.96  0.070  0.060    0.358   0.000947     3.68  1.12 0.098   44.
  82.02  2.764367   67.079201   10.31174374 0.014682 0.2210    1.37  0.000  0.000    3.80  1.181 89.496   24.954   0.086064   269.33 13.27 3.458  707.
  u       0.087719    0.000758    0.00001217 0.000101 0.0458    0.65  0.000  0.000    1.80  0.038  0.107    0.265   0.000702     3.11  6.46 0.198   51.
  82.03  2.764367   78.025650   27.45361900 0.010963 0.5667    2.11  0.000  0.000    8.12  0.882 89.326   47.934   0.165325   135.82 68.23 4.035  510.
  u       0.087719    0.002584    0.00010511 0.000216 0.0258    0.75  0.000  0.000    2.88  0.033  0.037    0.510   0.001348     4.68 25.45 0.156   37.
  82.04  2.764367   72.984863    7.07142115 0.007228 0.0604   -1.00  0.000  0.000   -2.45  0.581 89.823   19.405   0.066928    65.29 -72.0 3.216  802.
  u       0.087719    0.001461    0.00002072 0.000145 0.0520    0.60  0.000  0.000    1.46  0.022  0.152    0.206   0.000546     2.59 43.86 0.415   58.
  82.05  2.764367   68.849197    5.28696442 0.005800 0.0577    0.19  0.000  0.000    0.41  0.466 89.794   15.985   0.055133    41.63 23.29 3.784  884.
  u       0.087719    0.002685    0.00002454 0.000164 0.0599    0.74  0.000  0.000    1.65  0.020  0.213    0.170   0.000450     2.36 94.93 0.370   64.
 104.01  2.900115   67.999802    2.50805783 0.042380 0.8540    6.11  0.000  0.000   10.84  3.505 84.886    9.880   0.033737  1510.25  1.45 2.956 1118.
  u       0.225886    0.000133    0.00000051 0.000371 0.0087    0.78  0.000  0.000    1.43  0.154  0.212    0.255   0.000339     7.90  0.26 0.066   86.
 104.10  2.900115  177.237595  820.73382568 0.000000 0.0000  263.34 -0.351  0.150 3239.38  0.000 90.000  469.226   1.602200     0.00  0.00 0.000  162.
  u       0.225886    3.729511    2.58770442 0.000000 0.0000   13.93  0.017  0.015  201.50  0.000  0.000   12.101   0.016501     0.00  0.00 0.000   12.
 108.01  0.516163   75.176140   15.96535873 0.021500 0.7179    3.73  0.000  0.000   18.69  3.370 87.850   19.088   0.127904   478.61  2.23 3.128  966.
  u       0.019076    0.000789    0.00002056 0.000122 0.0092    0.93  0.000  0.000    4.65  0.092  0.077    0.235   0.002606     4.09  0.59 0.112   71.
 108.02  0.515931  228.325806  179.61201477 0.032766 0.4392   -2.01  0.000  0.000  -22.54  5.137 89.738   95.821   0.642066  1248.78 -0.76 2.183  431.
  u       0.019276    0.001352    0.00042444 0.000139 0.0238    1.28  0.000  0.000   14.32  0.139  0.017    1.191   0.013118     7.60  0.49 0.451   32.
*116 has not converged
 116.01  1.378947   69.278366   13.57078266 0.022113 0.6924    2.71  0.000  0.000   10.44  2.499 88.272   23.767   0.111448   508.96  3.28 3.173  889.
  u       0.146840    0.001002    0.00002125 0.000253 0.0279    0.78  0.000  0.000    3.20  0.320  0.227    0.862   0.001966     7.17  1.56 0.172   87.
 116.02  1.378947   84.933601   43.84448242 0.022676 0.2809    1.95  0.000  0.000   11.17  2.564 89.681   51.941   0.243566   608.09  3.10 3.180  602.
 u        0.146840    0.001890    0.00012104 0.000243 0.1299    0.98  0.000  0.000    5.76  0.328  0.160    1.884   0.004295     8.78  2.07 0.247   59.
 116.03  1.378947   68.640350    6.16486216 0.007258 0.3856    0.05  0.000  0.000    0.15  0.823 88.392   14.045   0.065856    57.01  1.26 3.404 1157.
 u        0.146840    0.005525    0.00005172 0.000318 0.1476    0.93  0.000  0.000    2.80  0.112  0.685    0.509   0.001162     4.85 26.26 0.412  114.
