KOISTAR,KOIPLANET,RP,MP,PERIOD,EPOCH,TEFF,RS,KMAG,ASEMI
,,rearth,mearth,day,bjd,k,rsun,,au
41,1,2.079996419,3.599546207,12.8157354,55.9506062,5909,1.233,11,0.111
41,2,1.239997865,1.906614151,6.8870994,66.1758017,5909,1.233,11,0.073
41,3,1.399997589,2.743985826,35.3331429,86.9839439,5909,1.233,11,0.218
82,1,2.449995782,5.882419614,16.1456735,67.7536612,4908,0.7364,11.492,0.116
82,2,1.289997779,2.146677911,10.3117522,67.0794345,4908,0.7364,11.492,0.086
82,3,1.039998209,1.12485819,27.4537815,78.0247202,4908,0.7364,11.492,0.165
82,4,0.699998795,0.342998228,7.0713053,72.9905645,4908,0.7364,11.492,0.067
82,5,0.519999105,0.140607274,5.2870294,68.8457316,4908,0.7364,11.492,0.055
104,0,3.359994215,15.17314402,2.5080585,67.9997012,4786,0.757,12.895,0.034
116,1,2.579995558,6.869369316,13.5707271,69.2799171,5865,1.037,12.882,0.111
116,2,2.689995368,7.786003381,43.8443762,84.9348827,5865,1.037,12.882,0.244
116,3,0.869998502,0.658499599,6.1648897,68.6356205,5865,1.037,12.882,0.066
148,1,2.139996315,3.920117351,4.7779805,57.0630099,5190,0.8884,13.04,0.053
148,2,3.149994576,12.50228542,9.6739281,58.3398075,5190,0.8884,13.04,0.085
148,3,2.349995954,5.191123185,42.895916,79.0656671,5190,0.8884,13.04,0.23
153,1,2.469995747,6.027658064,8.9251133,72.7121843,4725,0.687,13.461,0.076
153,2,2.069996436,3.547878873,4.7539936,61.546737,4725,0.687,13.461,0.05
244,1,6.509988791,55.17860517,12.720365,111.527407,6103,1.6649,10.734,0.113
244,2,3.399994146,15.72151879,6.2385593,104.7045878,6103,1.6649,10.734,0.07
245,1,1.999996556,7.999958676,39.7921956,108.2497317,5288,0.7282,9.71,0.208
245,2,0.749998709,0.421872821,21.3018475,124.8384969,5288,0.7282,9.71,0.137
245,3,0.339999415,0.039303797,13.367265,117.0333249,5288,0.7282,9.71,0.1
246,1,2.529995644,6.477677339,5.3987665,106.857144,5793,1.2415,10,0.062
261,0,2.699995351,7.873159331,16.2384791,104.0189546,5692,1.0171,10.297,0.125
283,0,2.249996126,4.556226465,16.0919238,103.5986533,5687,1.0345,11.525,0.126
292,0,1.639997176,4.410921215,2.5866272,104.8424997,5780,0.9776,12.872,0.036
299,0,2.069996436,3.547878873,1.5416821,103.5419976,5538,1.1106,12.899,0.026
305,0,1.569997297,3.86987301,4.6035711,104.8396968,4782,0.7316,12.97,0.05
321,0,1.589997262,4.019658236,2.4263076,103.4548391,5538,1.1093,12.52,0.035
975,0,1.719997038,5.088421716,2.7858189,193.8369104,6131,2.0411,8.224,0.043
1612,0,0.759998691,0.438973732,2.4649988,65.6819708,6027,1.3134,8.769,0.036
