NAME,MSINI,MSINIUPPER,MSINILOWER,UMSINI,R,RUPPER,RLOWER,UR,MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,TEFF,TEFFUPPER,TEFFLOWER,UTEFF,A,AUPPER,ALOWER,UA,PER,ECC,I,FIRSTREF,FIRSTURL,ORBREF,ORBURL
,mearth,mearth,mearth,mearth,rearth,rearth,rearth,rearth,msun,msun,msun,msun,rsun,rsun,rsun,rsun,k,k,k,k,au,au,au,au,day,,deg,,,,
Kepler-20 b,8.45865733152556,2.1221060088380033,2.1221060088380033,2.1221060088380033,1.9082953425001177,0.11989237879619323,0.2098130640159295,0.16485272140606136,0.912,0.034,0.034,0.034,0.944,0.06,0.095,0.0775,5455,100,100,100,0.0453704,0.000756174,0.000756174,0.000756174,3.6961219,0,86.5,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G
Kepler-11 c,13.4976714873958,4.799030832580094,6.095722607211005,5.4473767198955505,3.1499926009313115,0.299999402078989,0.299999402078989,0.299999402078989,0.95,0.1,0.1,0.1,1.1,0.1,0.1,0.1,5680,100,100,100,0.106504,0.00373699,0.00373699,0.00373699,13.02502,0,89,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L
Kepler-10 b,4.517508878176157,1.2484821728432258,1.2484821728432258,1.2484821728432258,1.4159969087972906,0.03299991181072733,0.035999883413555755,0.03449989761214154,0.895,0.06,0.06,0.06,1.056,0.021,0.021,0.021,5627,44,44,44,0.0167573,0.000374465,0.000374465,0.000374465,0.837495,0,84.4,Batalha 2011,http://adsabs.harvard.edu/abs/2011ApJ...729...27B,Batalha 2011,http://adsabs.harvard.edu/abs/2011ApJ...729...27B
Kepler-11 b,4.296880586522045,2.1996087677011147,1.9993843025007532,2.099496535100934,1.9700007814239346,0.19000006967592228,0.19000006967592228,0.19000006967592228,0.95,0.1,0.1,0.1,1.1,0.1,0.1,0.1,5680,100,100,100,0.0910985,0.00319644,0.00319644,0.00319644,10.30375,0,88.5,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L
CoRoT-7 b,4.946688430250075,0.8638859350205884,0.8638859350205884,0.8638859350205884,1.6791053134946141,0.09000811526943761,0.09000811526943761,0.09000811526943761,0.93,0.03,0.03,0.03,0.87,0.04,0.04,0.04,5275,75,75,75,0.0171897,0.000286495,0.000286495,0.000286495,0.853585,0,80.1,Queloz 2009 ; Leger 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..303Q ; http://adsabs.harvard.edu/abs/2009A%26A...506..287L,Queloz 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..303Q
Kepler-68 b,7.5900645324897065,2.0645875585015565,2.0645875585015565,2.0645875585015565,2.307940341481005,0.05994641357771123,0.0899196764114705,0.07493304499459087,1.079,0.051,0.051,0.051,1.243,0.019,0.019,0.019,5793,74,74,74,0.061775,0.00102958,0.00102958,0.00102958,5.398763,0,87.6,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,Gilliland 2013,http://adsabs.harvard.edu/abs/2013ApJ...766...40G
HAT-P-26 b,18.634001089685647,2.282879898061665,2.282879898061665,2.282879898061665,6.333074112980354,0.5828669980088114,0.5828669980088114,0.5828669980088114,0.816,0.033,0.033,0.033,0.788,0.098,0.04299999999999998,0.0705,5079,88,88,88,0.0478684,0.000797807,0.000797807,0.000797807,4.234516,0.124,88.6,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..138H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..138H
Kepler-18 d,16.38999334136788,,,,6.97998922688575,0.32999911810727334,0.32999911810727334,0.32999911810727334,0.972,0.042,0.042,0.042,1.108,0.051,0.051,0.051,5383,44,44,44,0.117171,0.00195285,0.00195285,0.00195285,14.85888,0.000521567,88.07,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,Cochran 2011,http://adsabs.harvard.edu/abs/2011ApJS..197....7C
GJ 1214 b,6.467790514211107,0.9958910645776842,0.9958910645776842,0.9958910645776842,2.6778254966212507,0.1299120866715793,0.1299120866715793,0.1299120866715793,0.157,0.019,0.019,0.019,0.211,0.0097,0.0097,0.0097,3026,130,130,130,0.0143253,0.000577878,0.000577878,0.000577878,1.58040482,0,90,Charbonneau 2009,http://adsabs.harvard.edu/abs/2009Natur.462..891C,Carter 2011,http://adsabs.harvard.edu/abs/2011ApJ...730...82C
Kepler-11 d,6.1000131314653,3.0996654112684543,1.700337940142613,2.400001675705534,3.4299929395901603,0.31999958639720294,0.31999958639720294,0.31999958639720294,0.95,0.1,0.1,0.1,1.1,0.1,0.1,0.1,5680,100,100,100,0.154183,0.00540994,0.00540994,0.00540994,22.68719,0,89.3,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L
Kepler-11 e,8.39868533694888,2.4980385658330824,1.9005433363462887,2.199290951089685,4.5199990617895605,0.43918692030542006,0.43918692030542006,0.43918692030542006,0.95,0.1,0.1,0.1,1.1,0.1,0.1,0.1,5680,100,100,100,0.1939,0.0068035,0.0068035,0.0068035,31.9959,0,88.8,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L
Kepler-20 c,15.727536396504972,3.3142234056442703,3.3142234056442703,3.3142234056442703,3.0672591141562533,0.19982137859237076,0.30972319286307837,0.25477228572772453,0.912,0.034,0.034,0.034,0.944,0.06,0.095,0.0775,5455,100,100,100,0.0930411,0.00155068,0.00155068,0.00155068,10.854092,0,88.39,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G
55 Cnc e,8.324379813196746,0.39241452646379427,0.39241452646379427,0.39241452646379427,2.079994509336636,0.1599992327495649,0.1599992327495649,0.1599992327495649,0.905,0.015,0.015,0.015,0.943,0.01,0.01,0.01,5196,24,24,24,0.0154393,0.000257321,0.000257321,0.000257321,0.736546,0,83.4,McArthur 2004,http://adsabs.harvard.edu/abs/2004ApJ...614L..81M,Endl 2012,http://adsabs.harvard.edu/abs/2012ApJ...759...19E
Kepler-11 f,2.2978141006327206,2.199656440192829,1.2003456688761673,1.7000010545344981,2.6099999542183405,0.24999950173249083,0.24999950173249083,0.24999950173249083,0.95,0.1,0.1,0.1,1.1,0.1,0.1,0.1,5680,100,100,100,0.249453,0.00875275,0.00875275,0.00875275,46.68876,0,89.4,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L
