##########################################################################################
#  KOI |     KIC    |  Teff  |sig_Teff|    Fe/H  | sig_Fe/H |     rho    |   sig_rho  |    Rad   | sig_Rad  |    Mass  | sig_Mass |  Source
   41  |   6521045  |  5825  |   75   |   0.020  |   0.101  |  0.457386  |  0.012524  |   1.490  |   0.035  |   1.080  |   0.063  |      this work
   69  |   3544595  |  5669  |   75   |  -0.180  |   0.101  |  1.639686  |  0.010214  |   0.921  |   0.020  |   0.909  |   0.057  |      this work
   82  |  10187017  |  4903  |   44   |   0.080  |   0.040  |  2.832129  |  0.263726  |   0.736  |   0.024  |   0.800  |   0.020  |      SME+YY
  104  |  10318874  |  4781  |   78   |   0.340  |   0.040  |  2.647714  |  0.314766  |   0.757  |   0.033  |   0.814  |   0.025  |      SME+YY
  108  |   4914423  |  5845  |   88   |   0.070  |   0.109  |  0.513098  |  0.019708  |   1.436  |   0.039  |   1.094  |   0.068  |      this work
  116  |   8395660  |  5858  |   98   |  -0.120  |   0.100  |  1.256351  |  0.432747  |   1.037  |   0.167  |   1.003  |   0.057  |      SME+YY
  122  |   8349582  |  5699  |   74   |   0.300  |   0.101  |  0.539867  |  0.018589  |   1.415  |   0.039  |   1.084  |   0.076  |      this work
  123  |   5094751  |  5952  |   75   |  -0.080  |   0.101  |  0.640618  |  0.032259  |   1.323  |   0.037  |   1.039  |   0.065  |      this work
  148  |   5735762  |  5194  |   43   |   0.170  |   0.040  |  1.763232  |  0.297742  |   0.888  |   0.047  |   0.883  |   0.021  |      SME+YY
  153  |  12252424  |  4725  |   44   |   0.050  |   0.040  |  3.233276  |  0.270225  |   0.687  |   0.020  |   0.745  |   0.017  |      SME+YY
  244  |   4349452  |  6270  |   79   |  -0.040  |   0.101  |  0.745290  |  0.008600  |   1.309  |   0.023  |   1.187  |   0.060  |      this work
  245  |   8478994  |  5417  |   75   |  -0.320  |   0.070  |  2.458000  |  0.046000  |   0.772  |   0.026  |   0.803  |   0.068  |   published(e)
  246  |  11295426  |  5793  |  100   |   0.120  |   0.040  |  0.790300  |  0.005400  |   1.243  |   0.019  |   1.079  |   0.051  |   published(f)
  261  |   5383248  |  5690  |   43   |   0.040  |   0.040  |  1.319532  |  0.325032  |   1.017  |   0.094  |   0.995  |   0.023  |      SME+YY
  283  |   5695396  |  5685  |   44   |   0.120  |   0.040  |  1.285963  |  0.314139  |   1.035  |   0.098  |   1.021  |   0.024  |      SME+YY
  292  |  11075737  |  5779  |   44   |  -0.200  |   0.040  |  1.404279  |  0.371017  |   0.978  |   0.094  |   0.939  |   0.025  |      SME+YY
  299  |   2692377  |  5539  |   43   |   0.180  |   0.040  |  1.005466  |  0.323738  |   1.111  |   0.124  |   0.988  |   0.024  |      SME+YY
  305  |   6063220  |  4782  |  115   |   0.180  |   0.040  |  2.837989  |  0.384621  |   0.732  |   0.040  |   0.788  |   0.034  |      SME+YY
  321  |   8753657  |  5538  |   44   |   0.180  |   0.040  |  1.125124  |  0.022992  |   1.069  |   0.021  |   1.070  |   0.040  |      astero Kjedsen 8/17/12
 1019  |   8179973  |  5009  |   75   |  -0.020  |   0.101  |  0.040575  |  0.000467  |   3.585  |   0.090  |   1.327  |   0.094  |      this work
 1442  |  11600889  |  5476  |   46   |   0.036  |   0.003  |  1.341198  |  0.268303  |   1.015  |   0.071  |   1.003  |   0.021  |      SME+YY
 1612  |  10963065  |  6104  |   74   |  -0.200  |   0.101  |  0.821926  |  0.010067  |   1.225  |   0.027  |   1.079  |   0.069  |      this work
 1925  |   9955598  |  5460  |   75   |   0.080  |   0.101  |  1.810606  |  0.003239  |   0.893  |   0.018  |   0.918  |   0.057  |      this work
